,,Q845 (sq. m),Q844 (sq. m),Q545 (sq. m),BL109 (sq. m),BL515 (sq. m),C625F (sq. m),K148,Note:
MANUAL QA SNAGGING,Platform,Onsite,Onsite,Onsite,Onsite,Onsite,Onsite,CONXAI,
,Start - Manual QA,8/15/2026 9:55,12/08/2026 13:45:00,8/15/2026 12:17,22/08/2026 14:07:00,17/08/2026 14:36:00,N/A,08/22/2026 10:03,
,break,0,0,0,2h 30,1h 20,N/A,0,
,End -  Manual QA,8/15/2026 12:17,12/08/2026 16:18:00,8/15/2026 14:50,22/08/2026 20:05:00,17/08/2026 20:29:00,N/A,08/22/2026 13:31,
,Duration - Manual QA,0d 2h 22m,0d 2h 33m,0d 2h 33m,3h 28m,4h 33m,N/A,3h 28min,
,Number of QA,2,2,2,2,2,N/A,1,
,Manhours,0d 4h 44m,5h 6m,5h 6m,6h 56m,4h 33m,N/A,3h 28min,
,,,,,,,,,
MANUAL MEP SNAGGING,Platform,CONXAI,Onsite,Onsite,Onsite,CONXAI,Onsite,Onsite,
,Start - MEP QA ,14/08/2026 14:37:00,15/08/2026 19:57:00,12/08/2026 16:34:00,21/08/2026 18:53:00,08/20/2026 13:25:00,N/A,N/A,
,End -  MEP QA,14/08/2026 16:01:00,15/08/2026 21:46:00,12/08/2026 17:33:00,21/08/2026 20:31:00,08/20/2026 14:25:00,N/A,N/A,
,Duration - MEP QA,1h 24m,0d 1h 49m,0d 0h 59m,0d 1h 38m,0d 1h 0m,N/A,N/A,
,Number of QA,1,1,1,1,1,N/A,N/A,
,Manhours,1h 24m,1h 49m,59m,1h 38m,1h 0m,N/A,N/A,
,,,,,,,,,
CAPTURE,Start - Capture ,14-Aug-26,14-Aug-26,14-Aug-26,18-Aug-26,18-Aug-26,19-Aug-26,tbc,
,End - Capture ,14-Aug-26,14-Aug-26,14-Aug-26,18-Aug-26,18-Aug-26,20-Aug-26,tbc,
,Manhours,1h 30m,1h 30m,1h 30m,5h 0m,2h 0m,11h 0m,tbc,
,,,,,,,,,
PROCESSING,Start - Processsing,14-Aug-26,14-Aug-26,14-Aug-26,18-Aug-26,18-Aug-26,20-Aug-26,tbc,
,End - Processing,14-Aug-26,14-Aug-26,14-Aug-26,18-Aug-26,18-Aug-26,20-Aug-26,tbc,
,Processing time,2h 20m,2h 20m,2h 20m,2h 25m,2h 20m,6h 30m,tbc,
